asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.6517,,"(205.37427245411527, 180.648519109287, 171.38898601540131)","(11.918467278035212, 17.256718604114, 15.947091670562852)","(2.3758529492347034, 1.7348384407520758, 1.896807068648133)","(4.443406747992327, 1.5762850282675904, 2.206295016055929)","(208, 184, 168)",
0.2175,,"(188.4691026500077, 155.16493803984486, 154.02119977667462)","(33.43383679966078, 42.829147737259234, 49.56237288120963)","(0.7142009423177715, 0.2008191286752656, -0.16705522284926638)","(-0.8986988442290911, -1.3160828720263273, -1.1870637164930384)","(192, 151, 138)",
0.4046,,"(155.7511332241993, 72.84375003672903, 54.748218924185494)","(39.79787517072966, 34.309689926776834, 30.961563869744545)","(0.5184171567719698, 0.861401334277061, 0.9295750978741006)","(-1.013131107478954, -0.4272380892560692, -0.4625983110239389)","(127, 49, 46)",
0.3804,,"(212.95744633492723, 153.53480299135117, 141.26558053962071)","(10.790518778088874, 21.154435375277167, 23.385476719535863)","(2.9232946127286006, 1.5186934803134435, 1.3879476157015231)","(7.702254751971559, 0.8806271016730793, 0.46651077410285513)","(210, 146, 134)",
0.939,,"(166.0346403837175, 91.13306217023637, 91.17881586700969)","(20.478190494669608, 31.07059301031988, 30.416887227406733)","(1.5748158117217814, 1.7796269264367106, 1.694428062630892)","(1.0028060086358792, 2.522805268722804, 2.0800203703126856)","(184, 68, 67)",
0.7902,,"(187.18993664019945, 120.80023095597426, 107.59613837554934)","(31.067372856444354, 37.57210084998925, 37.21469859719164)","(1.072918226943151, 0.9599947161977013, 0.9281704742895543)","(0.38059696319282077, -0.1088883220676018, -0.20236188880977046)","(255, 111, 103)",
0.8741,,"(168.97211910841725, 101.56712253847218, 77.73693441208707)","(23.937131598190543, 24.318509983538547, 23.95137286789972)","(1.2349048093431123, 1.6157641320229392, 1.6135020946449652)","(0.09054302307102757, 1.8102500396399774, 1.7792866024632872)","(152, 88, 63)",
0.3865,,"(163.2680557045478, 153.05581905920417, 162.12029520796614)","(19.47970167525839, 30.327024359031252, 33.056158431060126)","(1.6266696425520062, 0.8575864376819329, 0.5588962292674259)","(1.2566190268445396, -0.7645634974618574, -1.367867842195858)","(148, 123, 127)",1
0.9153,,"(185.35698768861948, 134.63326276676526, 115.96920750421668)","(21.64552831398057, 28.783270071709943, 28.62929425407367)","(2.409117663756975, 1.1382577823345685, 1.0886467811447742)","(7.62123343728636, -0.03145117713215795, -0.21377098481662138)","(184, 125, 112)",
0.7355,,"(141.2611452341589, 85.93913706039166, 71.32006435053336)","(11.547461557542906, 12.694614294750012, 12.499674514529088)","(2.4476117356847036, 2.236713698718545, 2.294398903666795)","(4.703746405152941, 3.7171164258117315, 3.991109493793024)","(141, 88, 74)",
0.2415,,"(154.2033186327535, 108.81602822035347, 101.95465092304221)","(20.80902248599117, 31.520356664076132, 32.63829791895898)","(1.4011641185798185, 0.9481297986266239, 0.6998893185056988)","(0.5182695018100527, -0.5688183063233581, -0.8950325329812574)","(183, 149, 124)",
0.3306,,"(176.14187746897323, 134.0534447199725, 131.06374662080316)","(16.852254834918757, 28.10570567282534, 31.749567512180636)","(1.876311573927026, 0.9246059932338454, 0.8011477960089411)","(2.243272848697883, -0.6591274098849289, -0.8892719407026166)","(170, 136, 127)",
0.8106,,"(195.5985325473266, 130.65492263737542, 124.32640526866453)","(19.980881117327787, 29.18543502448392, 30.68204188073943)","(2.0019131310997698, 1.1490558027925803, 1.0970463679386127)","(2.868501266868827, -0.19564111705172982, -0.2745591496955031)","(194, 121, 113)",1
0.6395,,"(161.96370208449298, 139.5730422550405, 126.53831522131077)","(23.99904227719612, 32.10971293623844, 34.57783686072122)","(1.2926653184331176, 0.6493571395732672, 0.48250182763972027)","(0.4081662154830439, -1.0634639044129097, -1.3276859316499958)","(167, 127, 108)",
0.749,,"(116.59001288187937, 88.52142250269026, 99.20705782639561)","(10.477181666242364, 15.270478358868305, 17.890145776939782)","(2.6318042230423373, 1.9110933799932528, 1.9516652171718227)","(5.971140624097941, 2.363072522504181, 3.0492978545465776)","(119, 93, 107)",1
0.049,,"(188.60408661210386, 148.62656710412557, 142.9751406645155)","(14.655515342610423, 19.815929884434265, 20.879718207372846)","(2.483881400944415, 1.9592405622235505, 1.8255559348600907)","(5.6950054116315165, 3.2343607604439457, 2.4659526241266265)","(185, 138, 134)",
0.8751,,"(188.73588852214743, 145.26339787082543, 134.62469050483196)","(16.179082605448116, 25.68205628235981, 29.806346534902904)","(2.4270737822202055, 2.1356875861532667, 1.8719267550014436)","(5.016299773800382, 4.695804320979999, 3.381075855192795)","(192, 153, 143)",
0.6755,,"(126.46500985597959, 106.87736574877636, 103.59843529519276)","(45.49200985994867, 54.90974518151306, 56.443762268738936)","(1.044304310694873, 1.283011571737922, 0.8757105254254149)","(0.432258556158855, 1.5727819231878826, 0.07351704574190521)","(78, 45, 38)",
0.0388,,"(122.75421741187529, 93.15262031341626, 78.0953273785708)","(33.235906827576294, 28.603743071464933, 29.170685372517564)","(0.5420539717585038, 0.9591620054129032, 1.098773820101806)","(-1.2828408660670094, -0.7025725599002901, -0.25711583335189525)","(93, 62, 59)",
0.6715,,"(78.78095769539686, 61.13339796966466, 54.18904791194291)","(25.382369551531205, 22.415372168403895, 19.41992538885981)","(1.2506286876282648, 1.8292677322630257, 2.1886285594292993)","(-0.03613154310018807, 2.0325175859770663, 3.6904066580980563)","(55, 49, 46)",
0.6949,,"(124.34878410486272, 122.23154979206083, 130.1600461518292)","(21.351204890931765, 21.015343576830286, 24.253403417790537)","(2.1736534543949153, 1.9327698190675284, 1.6173681099238335)","(4.009274334482265, 2.7371486850835183, 1.4614444296881208)","(140, 138, 146)",1
0.7602,,"(188.20272939009146, 164.37679063612268, 166.58896142785625)","(10.307535367805475, 17.95420614773285, 19.628941986815146)","(2.610074839761723, 1.7411984915542948, 1.5558817382086592)","(5.477901058272453, 1.7145851166766946, 0.9170241175113207)","(191, 174, 179)",
0.7701,,"(117.57297875336371, 96.42897630063817, 104.56538515212014)","(26.748055592389246, 33.77131601093582, 36.58219517142556)","(0.9439413595928998, 0.9155937191608039, 1.0128150381091283)","(-0.7937766148333782, -0.47311912041077875, 0.06526353875413626)","(135, 99, 100)",1
0.1203,,"(162.67112787308088, 134.71299403148942, 120.60250621372279)","(16.979931778846623, 22.224059698486062, 25.431040834750053)","(1.8276549229340924, 1.4795301745925356, 1.0387015928625718)","(2.036365487406778, 0.9278520821500629, -0.5290343584310424)","(161, 135, 125)",
0.7403,,"(93.1358729312742, 45.432435360125055, 32.4678428732268)","(25.062592018578062, 23.13853297123306, 22.04507834574941)","(1.6734302540133943, 2.1270785824359613, 2.3501386735868794)","(2.032189827243216, 4.493051938649304, 5.590451746808489)","(69, 24, 13)",
0.5271,,"(201.4060235466486, 148.93730621604664, 143.7821513482595)","(17.686043040493423, 27.76366581935678, 29.958895098574686)","(2.4516134347585523, 1.540528059512165, 1.3721376426012382)","(5.3396449389914284, 1.1828318074122457, 0.6244254693485511)","(196, 137, 133)",
0.7373,,"(236.98150875384454, 145.2936917208135, 121.457118780585)","(14.592116278764085, 26.238705333521324, 24.93110516853816)","(2.8054890696588646, 1.034783265484477, 1.1200030217591597)","(8.715538882546428, -0.46844342472037326, -0.3645275890391768)","(255, 128, 125)",
0.5943,,"(132.9310826692572, 110.39028202948884, 108.54586608043428)","(14.33276011219553, 20.68762112933134, 21.220795335616355)","(2.3013402672924608, 1.9670452957279614, 1.8452167667800736)","(4.263113664669413, 2.825625076168982, 2.3173347000718687)","(132, 108, 112)",
0.9262,,"(180.96118055505576, 89.67258999091973, 81.2471185116492)","(18.168789577211513, 19.200295018288912, 19.22346656115369)","(1.6950886438938932, 1.3429951171233077, 1.2996874708019366)","(1.633968016362469, 0.16766584329104095, -0.00016467508635109596)","(188, 87, 78)",
0.8466,,"(153.041549807931, 100.14848819949111, 121.1894066246241)","(25.404694560275274, 25.810097849741602, 26.26673588621706)","(1.573442562754233, 1.6135957022004508, 1.3770922695794088)","(1.2536763474136867, 1.2515758592647455, 0.42912084733380773)","(176, 92, 113)",1
0.426,,"(65.5874033888249, 60.895244559971616, 53.562018132943194)","(33.162935351143005, 27.4164473987488, 24.030902328645418)","(0.9400612070975282, 1.1556615392986287, 1.3740376333682731)","(-0.5254228159360679, -0.24252337704097426, 0.3474097384494139)","(28, 29, 45)",1
,,,,,,,
,,,,,,,
0.5225,,"(143.52573669683898, 83.92231051029376, 40.97916527497182)","(12.718625884605418, 16.52843092372617, 14.782744619419143)","(1.97509922059143, 2.0955969107751584, 2.91903207583641)","(2.3885750958066785, 3.5037580389707594, 8.205837520883895)","(136, 73, 31)",
0.2387,,"(146.18708287380286, 95.07448158699594, 95.96834125636315)","(25.252917950968882, 29.263810035846376, 32.180903027452885)","(1.0363563258137716, 0.999463147484011, 0.8626668878742028)","(-0.4424199593236726, -0.536901744539533, -0.7896134712732499)","(159, 81, 83)",
0.5374,,"(138.96786362884177, 105.33731827014708, 97.93553576392242)","(18.374912505172865, 26.674077382108518, 27.516108081890952)","(1.8422095840174788, 0.9384221689246147, 0.8395514477720091)","(2.189315229386059, -0.6530017861190633, -0.9064326710685218)","(131, 109, 69)",
0.7912,,"(181.4566933907554, 144.2277424694621, 129.23248734435037)","(15.631435161405221, 22.50308131519296, 23.505444202770473)","(2.1862991885017817, 1.6539768873608445, 1.6079948768294328)","(3.2674271345974013, 1.7263589678052629, 1.5199793242114241)","(176, 136, 120)",
0.3939,,"(146.61005493349148, 111.67162235278829, 95.86030340336947)","(21.15917095839203, 24.20541779877541, 25.30345682847515)","(2.7327121921725293, 2.3560632457313253, 2.2010738757545134)","(6.410505552863862, 4.375179587040363, 3.7348906795459174)","(140, 105, 83)",
0.5699,,"(213.83489756824565, 151.97354986311984, 149.8334050870617)","(24.779480649770512, 30.204616385545105, 28.048961260025777)","(1.8628515241737005, 1.4140554796655456, 1.6007548919842751)","(2.519621020871319, 0.8695483894669165, 1.4289948287822236)","(225, 175, 164)",
0.8074,,"(144.0954844774692, 105.93857829302533, 119.93971331519606)","(27.888830954686153, 31.901240216493225, 34.62084101499531)","(0.7966000522982263, 0.6662687680041949, 0.40394986038187686)","(-0.9638852433795289, -1.1959035413610228, -1.5432864026052546)","(150, 98, 118)",1
,,,,,,,
0.7103,,"(76.74284443503143, 61.03079831538116, 58.486396539156885)","(35.86008555705832, 27.876753651770247, 27.224934757031917)","(1.004750995687221, 1.258857690256864, 1.4622797133885588)","(-0.009554895757929227, 0.30412967720601625, 0.9485231831604541)","(47, 41, 39)",1
,,,,,,,
0.3532,,"(131.28531270723397, 103.06651126408542, 102.7199778585873)","(24.532517133622967, 31.175876919218037, 31.39727509372766)","(1.8634557804123684, 0.9473156544065143, 0.9919801067725685)","(2.7096967288342126, -0.4392962563765499, -0.41930709865661697)","(135, 103, 101)",
0.6789,,"(135.48378614921876, 114.0214372068549, 111.38222708921057)","(29.733123390274383, 28.616133851919905, 29.621179336137207)","(0.9457793378028846, 1.0429148392080636, 0.9245343879116372)","(-0.47213667289822103, -0.3191007364771563, -0.580904644658311)","(130, 121, 114)",
0.6818,,"(199.53917337142047, 105.22010501222394, 95.97837950484245)","(30.46514739944869, 33.7249781668159, 33.061327153142216)","(1.9995097939684061, 1.4631901158521963, 1.475282387758175)","(3.1463265845815, 1.1320872286915735, 1.1407793693025523)","(203, 96, 80)",
0.8756,,"(150.51164680285365, 142.95133052012807, 144.78837436727554)","(5.9904610957602955, 9.582842044706755, 12.560663333544213)","(4.047888200766008, 3.1255619142996185, 2.3986056667427134)","(16.026933451785446, 9.203320760567253, 4.622280714204373)","(150, 141, 138)",
0.6171,,"(170.56519809718884, 96.66359312321583, 79.56774010267691)","(26.37455968374668, 29.93695280888547, 27.546018685365734)","(1.0938945288548776, 0.7826059212611752, 1.0435326222784942)","(-0.4200273225725626, -1.0601088953985784, -0.5226251326243068)","(178, 87, 71)",
0.7562,,"(196.25686384767687, 123.08530927197353, 127.7201965865529)","(17.922041889445772, 21.78901443930599, 22.956795330192563)","(1.7670202465975262, 1.5044827337774997, 1.3827207681010893)","(1.6823454670307783, 0.7186783945102762, 0.36173500064990805)","(192, 128, 128)",
0.6458,,"(138.46324262249618, 85.23093742757828, 91.46897700768113)","(22.747778967317803, 24.390046850907208, 23.677888003892754)","(1.6974962970988992, 1.1706748576766366, 1.3775023282770165)","(1.828681889787819, -0.11934051729238027, 0.5315038446720259)","(151, 80, 76)",1
0.7257,,"(36.62353059216548, 25.8647905409307, 15.171034512124606)","(24.180847623149543, 18.77546067903798, 13.182968352580389)","(3.026496454296419, 4.705576926798598, 5.851485802271143)","(11.231484635012555, 27.8518106697344, 42.79355348562453)","(15, 15, 6)",
0.3702,,"(165.62082891981845, 121.09378248313442, 127.96089988659514)","(6.288888158785467, 11.186820818564465, 10.924376215369506)","(3.943728899140051, 2.3622693712191944, 2.641025195873793)","(15.060848051932787, 4.275275738500227, 6.196661366539146)","(166, 121, 129)",
0.8841,,"(147.07899037642346, 115.15134217453306, 108.537181903499)","(25.975884809047606, 34.34010173826072, 34.84737087527951)","(1.8959356888645427, 0.9650835604638979, 0.6029666931554684)","(2.526128799251177, -0.43367526921059163, -1.211559832893829)","(154, 131, 125)",1
0.7928,,"(174.3878212044292, 115.20878560732672, 92.24380215910787)","(14.806348832597857, 20.34427565131153, 19.64807698633288)","(2.309749612521171, 1.4579607392056004, 1.5375304345772551)","(4.222998829090956, 0.6247491585014773, 0.8537062441175602)","(169, 109, 91)",
0.6902,,"(185.2718442370333, 114.35910423746873, 118.80739946617632)","(19.240327388701512, 30.668391997912174, 31.1779425299423)","(2.5674488071682497, 1.11597762306386, 1.004098116066322)","(8.679649050965729, -0.1398054873365857, -0.5433725448119007)","(186, 83, 99)",
0.5207,,"(165.69161025603398, 144.00755015831828, 148.0461064557485)","(10.243876297256884, 13.559099450115351, 16.33768343539178)","(2.663448255288854, 2.149413240015818, 1.790676549632047)","(5.7961514953154385, 3.1674154335356492, 1.701694322865472)","(167, 142, 153)",
,,,,,,,
0.138,,"(162.50557042825903, 128.9309557694346, 125.36590768884071)","(24.133382818694628, 36.003973018045386, 36.99621328106329)","(1.8612871893642051, 0.9932285918807866, 0.8921286834602317)","(2.857487635227071, -0.02377360772792425, -0.3328715621256282)","(164, 116, 108)",1
0.6437,,"(170.51529415716868, 107.84074154429345, 96.05996115701782)","(15.54386097901325, 26.027005158491644, 25.72512835533692)","(2.836349090713613, 1.2723265821711407, 1.6747218088990659)","(7.639455226228373, 0.08579919093927435, 1.908591854458387)","(161, 82, 73)",
0.7745,,"(147.81500671863614, 96.78511597774559, 69.58555146828758)","(24.40870980957816, 24.576845867189878, 20.23659627332973)","(1.936141242860481, 1.5720712178902658, 1.6690360432486777)","(2.839438688468589, 1.4537234631981333, 1.5028772575738163)","(149, 92, 68)",
0.543,,"(216.37919326408337, 144.60182243416057, 146.78208549106785)","(13.794004768433725, 27.47707207397436, 27.483862842857096)","(2.4427243617185956, 1.3731725059471698, 1.3823039483902961)","(4.892751153393927, 0.5278055598733475, 0.5851538170591022)","(210, 136, 137)",
0.923,,"(91.75814302924118, 71.07889416890248, 59.83728386931034)","(30.73606688828315, 28.293967524896278, 27.73565541973314)","(1.0878029980767212, 1.1397620482851376, 0.9069350165350997)","(-0.007861431713077405, 0.0033848289863098735, -0.7445039121857646)","(77, 42, 27)",
0.7587,,"(241.28696480291546, 170.16463390143326, 150.09547135356115)","(8.95364855783488, 18.010168000354437, 16.193915026600273)","(2.9140567454415662, 1.9737038926732526, 2.1494061236667883)","(7.315507931335956, 3.0868345471496195, 3.648902557855169)","(242, 175, 152)",
0.7899,,"(189.91134840311133, 102.29868883748895, 87.83915150169014)","(15.164442556396581, 23.99076476932919, 21.797859380541748)","(2.108687509592691, 1.3029542437548896, 1.435759408346678)","(3.0405205692798374, 0.1915674720923497, 0.5842028120956413)","(188, 101, 92)",
0.8533,,"(139.60117962297528, 128.28180006977232, 128.07499012002887)","(28.106415741173862, 28.373801247245492, 27.247756595110168)","(0.9575291644162315, 0.5926556830356869, 0.7183867436064926)","(-0.6570898935427323, -1.4534712469487852, -1.2176728704396553)","(151, 135, 113)",1
0.8911,,"(108.87987624533525, 83.15816446136523, 93.28827001635364)","(36.51720110649099, 39.62813267127716, 47.709962691996814)","(0.8239077673166094, 0.7178194021607774, 0.5161714069704735)","(-0.45028062649256784, -0.8140626381307206, -0.9122694131290543)","(121, 73, 90)",1
0.7895,,"(74.82600466307485, 80.95531679976557, 92.67119269925752)","(28.607641202421203, 31.33648710343157, 32.46525613691007)","(0.7962574403391677, 0.7223287260213794, 0.7306190292775453)","(-1.0042616702734157, -1.070138427846611, -1.0428596973995956)","(80, 61, 95)",1
0.5935,,"(153.77487818682812, 122.31495655732397, 129.39685020019488)","(28.304688109843095, 46.40556795483123, 52.91364865279028)","(1.3469088343536555, 0.5148600194836744, 0.3521050485676345)","(0.719236614707135, -0.5317042649486519, -0.3524315396105626)","(150, 79, 77)",1
0.7047,,"(152.78292203876805, 106.10997598499301, 100.17357074487074)","(12.759960025781133, 17.664414920139205, 20.19725897326128)","(2.580127471682536, 1.8686061715425557, 1.8175008749820243)","(5.903345913871808, 2.4214892388523976, 2.4293038632369797)","(160, 108, 103)",
0.1829,,"(172.89313924916496, 124.57562798021536, 109.49220142648846)","(23.658596593830243, 21.707204048810198, 19.280451872242725)","(1.4983346538356113, 1.701577530249488, 1.503914902917084)","(1.3618058814220717, 1.8417201450356453, 0.7542368876389696)","(148, 103, 91)",
0.8886,,"(215.41302420575084, 150.99895809067675, 125.62336118889652)","(9.677816278790639, 16.574594604985993, 17.872801289561362)","(3.091517298883648, 2.419841295460221, 2.3172653978587934)","(8.445183071140852, 4.777195585957525, 4.308901322327072)","(216, 151, 123)",
,,,,,,,
0.7746,,"(166.1220678667305, 125.2796543915756, 123.99793004966341)","(31.201054206912815, 37.28610811532028, 37.45293119916153)","(1.140725150843672, 1.1131866740392933, 0.9189849653056387)","(0.2788217402004447, 0.7003988626032362, -0.162873902603621)","(144, 96, 98)",
0.7253,,"(156.45391461087593, 133.25088196396246, 134.35338843314867)","(23.348138351271707, 23.209885632026353, 24.34317489105597)","(1.774323691786211, 1.5161799924666828, 1.723881289103204)","(2.138261900914716, 0.8153049017166563, 1.9333965707011762)","(160, 125, 139)",
0.7985,,"(181.393171375159, 96.07186905660637, 87.1233965540996)","(9.432189740788337, 19.755794760574037, 21.708647193317436)","(2.5370231683703826, 1.7228388416581104, 1.2687426010416365)","(5.012902192900281, 1.8119834459056312, -0.05626329756031012)","(186, 76, 62)",
0.7456,,"(195.5983888089031, 128.67057774560817, 121.98901511155691)","(18.400802756104625, 28.099998760245494, 29.86436670109654)","(2.08247065522061, 1.2380940498178323, 1.205275879148966)","(3.2240730453786393, 0.057116954271546394, 0.041069129343756394)","(194, 112, 106)",
0.8916,,"(168.79292511339008, 128.40082241871278, 99.63965677900705)","(22.0389433406736, 21.741775127376926, 20.15064377680025)","(1.5041767621919004, 1.5480572524969316, 1.619821989954637)","(0.8486154413668547, 0.9684109699202907, 1.2284090869668516)","(158, 114, 88)",
0.3927,,"(114.980959723046, 93.13252363118818, 86.1537888769617)","(49.334893075727244, 50.40944717530442, 47.733187776401294)","(1.2501523340778418, 1.0285320471477613, 1.0673261367217397)","(1.0006442480650373, -0.11265266557296538, 0.05235707830858827)","(168, 146, 32)",1
0.8113,,"(169.51592559096025, 139.81777222602977, 127.75121344199579)","(15.530658924027433, 18.8405377921015, 21.20137283113194)","(1.8531208780059378, 1.4884623261803698, 1.2322433666357762)","(1.9989405780758167, 0.6657440775017802, -0.16591464398785316)","(179, 140, 137)",
0.8382,,"(163.30113943278957, 112.311864059262, 120.26991632203135)","(16.65692256031376, 35.551783090047955, 39.55326644019272)","(2.5481858238699204, 1.5719294269387558, 1.3841007707241495)","(5.537286681795996, 1.4646462164318388, 0.9302060439578645)","(161, 102, 110)",
0.9139,,"(60.06856699252512, 52.39159482238574, 45.36829579583991)","(18.915634997764094, 12.46992200160639, 9.826258565008812)","(2.579756423863565, 3.363625525645162, 3.4659427634099345)","(5.3376507917622895, 11.1286153500603, 11.631861256391767)","(55, 45, 43)",
0.7818,,"(119.83855523672537, 77.21445781359216, 68.6228395337821)","(10.384520376101758, 8.325703540325843, 8.938004391854088)","(2.9431437055764307, 3.3347298116168216, 3.272233059425788)","(7.97254891356806, 10.265406881662491, 10.025591047555567)","(114, 74, 65)",
0.6912,,"(159.23147713048093, 100.28140405468002, 93.12414866156178)","(10.03530424433594, 19.49035885285464, 15.460512211761658)","(3.24754428193437, 1.9515733105881414, 2.3832946592371687)","(10.459512065197101, 2.5710408211458207, 4.760417128200197)","(158, 85, 87)",
0.6954,,"(188.2783789866735, 163.5095664037799, 143.14321603592543)","(18.62243867014372, 24.09742284089785, 22.62841791006099)","(1.576788772293007, 1.1765623766402526, 1.2134926344183994)","(1.2460352213430017, 0.02718039354031987, 0.08405438317819591)","(208, 191, 159)",
0.7708,,"(159.42423595245054, 105.83658969667886, 101.00992976350972)","(21.715506653357878, 36.84707286318703, 40.285877522206434)","(1.6064492725119943, 0.5499602034875589, 0.4760377555108453)","(1.5069264579314838, -1.185829146874815, -1.070932210829545)","(164, 119, 112)",
0.8508,,"(175.55983287777053, 120.5807220749557, 100.8320280478074)","(14.522878337438428, 17.769667473978448, 18.030202854502182)","(2.2263808394312723, 2.045080712535293, 1.8661323323151213)","(3.7289289282400953, 3.031499021998296, 2.1807617983196117)","(176, 115, 93)",
0.8082,,"(183.88995004389653, 97.65556044135883, 71.51124565296413)","(21.24061008448647, 26.770961335535933, 24.776803979274028)","(1.8698772758469435, 1.492582099662391, 1.5030555796497524)","(2.5137785131843815, 1.0883837563612033, 0.8654581196494884)","(174, 80, 63)",
0.9161,,"(95.43568582875741, 75.42817680830558, 79.35909871881267)","(21.649107299265825, 26.453173737066386, 29.9951362702452)","(1.857840403048824, 1.6863074865962626, 1.1762518402103006)","(2.59672170186456, 2.0348043978744084, 0.11075628473408727)","(82, 52, 56)",1
0.5691,,"(192.58912387639657, 140.1013531675194, 120.99999499942487)","(26.46581997192953, 33.20789389589961, 30.591413643440013)","(1.3626197626023404, 1.3298231214472513, 1.2409610602359544)","(0.5828377763076706, 0.4849244403240669, 0.20737679702958145)","(192, 139, 112)",1
0.8135,,"(234.54303168636397, 148.3126685043826, 135.8346635655762)","(12.100277508954825, 22.227580412723697, 22.466331133186372)","(2.348172854046274, 1.369289996159391, 1.3231731361834234)","(4.481977224516027, 0.6740609853053452, 0.4320754637987907)","(240, 143, 128)",
0.6792,,"(192.62534086301457, 183.27956740108493, 186.5946433851932)","(6.976887784903069, 16.92611334066349, 19.202940616090515)","(5.565345978498132, 2.5686792776360923, 2.4844333419883946)","(34.95607508810311, 6.932790256142049, 6.5233194484515895)","(193, 175, 175)",
0.3166,,"(140.85731528697215, 90.02312629549124, 63.65569149792282)","(24.328117466440474, 25.253968662299084, 22.96622721821045)","(1.6671181015351093, 1.4839241089614545, 1.5171392258627607)","(1.2859840380435026, 0.6536169014155271, 0.9280279517446335)","(154, 110, 55)",
0.5475,,"(163.06606606851165, 82.35754423636536, 70.85101680639855)","(18.51608686269933, 27.261302130104358, 28.38851821430089)","(1.7698017560849115, 1.0038010679095217, 0.9687275974970019)","(2.1246092041540967, -0.6720213817785199, -0.7658913151857334)","(175, 86, 68)",
0.845,,"(135.47253699639987, 100.54128931249579, 110.23756692961615)","(18.521422730555358, 34.189559677327594, 40.2550645299287)","(1.8218896562790827, 0.9400188763326789, 0.47349009809734227)","(2.0858855077451164, -0.24528410956259705, -1.128023663930423)","(138, 97, 117)",1
0.4182,,"(137.4995866199024, 93.2963267834275, 94.05777002789546)","(10.447366039785809, 18.407308115655404, 19.299914191920966)","(2.8355718376019308, 1.7669243967168569, 1.6399234248304677)","(7.213576587806557, 1.9237440006666375, 1.3980610385978691)","(137, 85, 91)",
0.7989,,"(168.24599732832576, 68.26972402994579, 68.1449652188312)","(16.065529887036558, 26.893273724930356, 23.58542842439606)","(1.9427100624554048, 0.962449631689404, 1.1829980547230636)","(2.4526758961899375, -0.4909992296134136, -0.004866524122007387)","(168, 64, 68)",
,,,,,,,
0.6816,,"(209.44644413888454, 138.89609347097576, 120.5459257028997)","(21.595208256674052, 24.453577504377794, 24.514363589713515)","(1.4720043843346624, 1.4516494330911278, 1.4919922095231575)","(0.8203915885858959, 0.8108100151219801, 0.9435234027978998)","(209, 143, 127)",
0.9475,,"(156.81264293861022, 131.96484096091444, 140.16399806263507)","(25.329630593800527, 28.339300012209677, 30.27819765172903)","(1.380365404767321, 1.0973470326437376, 0.9994630529673691)","(0.403760616517443, -0.13449669169942569, -0.3708079877401911)","(143, 119, 135)",1
0.5305,,"(154.92776997022702, 81.2886187613476, 70.93293581851685)","(21.649418224012084, 20.04025380214077, 19.508340049932766)","(1.5344370298902579, 1.4547857365329695, 1.3627816760130027)","(1.1260164501153263, 0.7658775206409607, 0.39630010534140725)","(167, 71, 64)",
0.7715,,"(140.77144413186215, 122.78319643702889, 115.77909235918787)","(16.561874021075447, 19.725986967225428, 21.21055490219348)","(1.8974145006297316, 1.7262577748115886, 1.6435933494563773)","(2.305082003648277, 1.611554549536942, 1.3067467177068721)","(138, 117, 108)",
0.4176,,"(207.06326694849713, 137.15001128820404, 136.7223255532508)","(14.306757244125519, 30.63493442845641, 31.255405206506047)","(2.03467609137499, 0.8098554353804088, 0.7651641023330473)","(2.740597668757995, -0.9542095540876234, -1.0643302096552891)","(198, 143, 119)",
0.7515,,"(228.26928940428115, 128.8928429983098, 145.82831684791836)","(19.411953268048684, 35.03537496752751, 36.674068419354825)","(1.8606544445622801, 0.88678943509587, 0.8108924250997217)","(2.7375369730222037, -0.5849272160732673, -0.6480554528076778)","(255, 128, 137)",
0.8924,,"(193.57958926423453, 138.84431022102945, 135.45006542134797)","(12.405468506281785, 18.074727668827986, 18.375042467383444)","(2.2219420236858998, 1.7489874475900844, 1.6895448224273995)","(3.621210244185389, 2.0386647484591496, 1.6210518324346461)","(184, 130, 123)",
0.9237,,"(222.7822786312754, 137.63017005314487, 99.11396389235688)","(17.04661426305746, 32.966020309485934, 32.56394505261927)","(2.3597839988151526, 1.1802553956998931, 1.160051828207683)","(7.0558998425931225, 0.5082397085481025, -0.03985841834641901)","(255, 104, 63)",
,,,,,,,
0.5174,,"(181.1187564228021, 131.2222663629509, 130.18555651594943)","(32.21129371507684, 45.255963554562406, 47.19671656042304)","(0.9498779262553828, 0.7899670467944839, 0.34671072987282264)","(-0.04659931319664734, 0.2771821840447939, -0.8132448636432841)","(194, 152, 159)",
0.7183,,"(182.35842374165122, 143.53630795265576, 147.40551308915565)","(12.53240393633689, 23.942193457970088, 26.03485004271702)","(2.2491598719724712, 1.2423130305852355, 1.053746103064259)","(3.7376478499281856, 0.059742598950720094, -0.463516783303358)","(181, 137, 139)",
0.7288,,"(179.47552610744606, 156.16810522073865, 147.1237607568628)","(9.582941274120632, 12.243613300309976, 12.57570054005071)","(2.8826669623463426, 2.199504834901986, 2.2442544476637316)","(7.338500547024799, 3.4747206018690537, 3.6799739562282916)","(178, 154, 148)",
0.916,,"(205.11766706066555, 130.7253294706461, 123.19582710892428)","(15.836630908943814, 21.634504874076946, 20.67748044144209)","(2.201715709561227, 1.8137863926676265, 2.098019849999109)","(3.7782314964054677, 2.4249305486051735, 4.0389222870046435)","(207, 143, 128)",
0.7633,,"(220.9362023770518, 127.75258188096632, 100.67845698832389)","(13.496716742809376, 23.56820933546357, 22.383473941792356)","(2.1718018832709602, 1.5549865062104293, 1.8284609317510518)","(3.5832321523068877, 1.118803389401652, 2.2148616670573906)","(216, 128, 95)",
